video_id,clip_id,text,label,annotation
03bSnISJMiM,2,THAY DID THEY DIDNT REALLY DO A WHOLE BUNCH OF BACKGROUND INFO ON WHY SHE HAS TO FIGHT AND BE PREPARED,-0.8,Negative
03bSnISJMiM,3,I MEAN THEY DID A LITTLE BIT OF IT,-1.0,Negative
03bSnISJMiM,4,BUT NOT A WHOLE BUNCH,-1.75,Negative
03bSnISJMiM,5,AND THEY SHOULDVE I GUESS,0.0,Neutral
03bSnISJMiM,6,THEY SHOULDVE LIVE UP WITH MORE,0.0,Neutral
03bSnISJMiM,7,AND XXX BUT BESIDES THAT IT WAS ALL OVER PRETTY GOOD,0.8,Positive
03bSnISJMiM,8,AND THERE IS LIKE SOMEONE WHILE SOMEONE THERE WAS A LOT OF ACTION,0.0,Neutral
03bSnISJMiM,9,OH MY GOD A LOT OF ACTION,0.2,Positive
03bSnISJMiM,10,THERE IS SAD PART,-1.2,Negative
03bSnISJMiM,11,A LOT OF SAD PARTS,-0.5,Neutral
03bSnISJMiM,12,BUT IT WAS REALLY REALLY AWESOME,2.2,Positive
03bSnISJMiM,13,AND ITS A REALLY FUNNY,1.8,Positive
0h-zjBukYpk,1,NOW THE TITLE OF THE MOVIE BASICALLY SAYS IT ALL,-0.4,Negative
0h-zjBukYpk,2,NOW IM NOT EVEN GONNA SUGAR COAT THIS THIS MOVIE FRUSTRATED ME TO SUCH AN EXTREME EXTENT THAT I WAS LOUDLY EXCLAIMING WHY AT THE END OF THE FILM,-2.8,Negative
0h-zjBukYpk,3,MY REASON IM A COMIC BOOK FAN,-0.2,Negative
0h-zjBukYpk,4,THAT LIKE TO SEE COMIC BOOK CHARACTERS TREATED RESPONSIBLY,-1.4,Negative
0h-zjBukYpk,5,THAT HUH BEFORE WE GO ON WITH THAT I MUST SAY THAT THIS HAD A SURPRISINGLY DECENT CAST,0.8,Positive
0h-zjBukYpk,6,STRANGE SINCE ONE OF MY BIGGEST GRAPES WITH THE XMAN SERIES WAS AND ALWAYS IS THE XXX,-1.4,Negative
0h-zjBukYpk,7,NOW HUGH JACKMAN WAS ALWAYS THE BEST CHOICE TO PLAY WOLVERINE I WILL ADMIT THAT,1.8,Positive
0h-zjBukYpk,8,AND IN MY OPINION HE CARRIED THE MOVIE FINE,0.8,Positive
0h-zjBukYpk,9,YOU KNOW NOTHING GREAT,-1.0,Negative
0h-zjBukYpk,10,BUT YOU KNOW HE DID IT,-0.6,Negative
0h-zjBukYpk,11,HES A STAR OF THE MOVIE,0.4,Positive
0h-zjBukYpk,12,NOTHING SPECIAL,-0.8,Negative
0h-zjBukYpk,13,HE CARRIED IT,1.25,Positive
0h-zjBukYpk,14,WHICH IS A SMART MOVE SINCE YOU KNOW YOU HAVE TO BE REAL COMIC BOOK FAN TO GET WHAT HES NAME IS SUPPOSED TO BE,1.4,Positive
0h-zjBukYpk,15,BUT ITS PRETTY SELFEXPLANATORY,0.0,Neutral
0h-zjBukYpk,16,UM I ACTUALLY THINK THAT LIEV SCHREIBER IS A GOOD ACTOR,0.6,Positive
0h-zjBukYpk,17,AND HE ALMOST LOOKS EXACTLY THE SAME AS THIS CHARACTER IN DEFIANCE,0.2,Positive
0h-zjBukYpk,18,I MEAN IT WAS LIKE HE WAS TOO LAZY TO TAKE OFF THE COSTUME OR SOMETHING,-2.0,Negative
0h-zjBukYpk,19,NOW OTHER PERFORMANCES ARE BORDERLINE,-0.4,Negative
0h-zjBukYpk,20,OK BUT THE TWO BIG CHARACTER APPEARANCES IN THIS MOVIE ARE EASILY DEADPOOL AND GAMBIT,0.6,Positive
0h-zjBukYpk,21,ACTUALLY I LIKED HIM A LOT,2.0,Positive
0h-zjBukYpk,22,AND I THOUGHT HE MADE A GOOD ACTOR FOR THE DEAD POOR CHARACTER,1.8,Positive
0h-zjBukYpk,23,NOW HES SEEN AT THE BEGINNING THAT REALLY SOLD ME,2.6,Positive
0h-zjBukYpk,24,I MEAN THAT WAS IMPRESSIVE,2.6,Positive
0h-zjBukYpk,25,I LIKED THAT SCENE WHERE HE HAD A SWORDS IN THERE AND THERES BUNCH OF PEOPLE THAT ARE GONNA SHOOT HIM BOOM BOOM BOOM BOOM TAKE HIM DOWN TAKE HIM DOWN BAM BAM BAM BAM BAM TAKE THAT WITH MY MAGICAL SWORDS,2.2,Positive
1DmNV9C1hbY,1,BUT FOR THIS ONE I JUST DIDNT FEEL LIKE IT,-2.0,Negative
1DmNV9C1hbY,2,UM I LOVED THE VERY FIRST ALVIN AND THE CHIPMUNKS MOVIE,1.6,Positive
1DmNV9C1hbY,3,BECAUSE IT HAD A REAL NOSTALGIC FEEL TO IT,1.0,Positive
1DmNV9C1hbY,4,IT REMINDED ME OF GETTING UP ON A SATURDAY MORNING AND EATING FRUIT LOOPS AND UM WATCHING CARTOONS,2.0,Positive
1DmNV9C1hbY,5,BUT YOU KNOW FOR THIS ONE I JUST DIDNT CARE,-1.8,Negative
1DmNV9C1hbY,6,UM I SAW NO REASON WHY THEY NEEDED TO BRING BACK THE VILLAIN FROM THE FIRST ONE,-1.6,Negative
1DmNV9C1hbY,7,AND UM WHILE THE TRAILER MADE THE FILM LOOK REAL NICE AND CUTE,-1.6,Negative
1DmNV9C1hbY,8,IT WAS JUST FLAT,-1.8,Negative
1DmNV9C1hbY,9,UM IM SURE KIDS ARE GONNA LOVE IT,2.2,Positive
1DmNV9C1hbY,10,KIDS ARE GONNA LOVE THE FILM,2.6,Positive
1DmNV9C1hbY,11,BUT FOR ME I WAS JUST A LITTLE BORED,-1.8,Negative
1DmNV9C1hbY,12,SURE THERE WERE CUTE MONEY PARTS IN THE MIXTING OF THE FILM,0.4,Positive
1DmNV9C1hbY,13,BUT OTHERWISE I DONT KNOW,-1.25,Negative
1DmNV9C1hbY,14,I DIDNT EVEN CARE FOR IT,-2.0,Negative
1iG0909rllw,1,AND I THOUGHT THEY WERE AVERAGE,-0.4,Negative
1iG0909rllw,2,LETS FACE IT THEY ARE REALLY NOT MASTER PIECES,-1.75,Negative
1iG0909rllw,3,I THOUGHT TWILIGHT DIRECTED BY CATHERINE HARDWICKE WAS ACTUALLY REALLY RATHER ENJOYABLE,2.0,Positive
1iG0909rllw,4,UM I MEAN OBVIOUSLY IT HAD ITS FLAWS,-1.2,Negative
1iG0909rllw,5,BUT CINEMATICLY I THOUGHT IT WAS GOOD QUITE GOOD,2.2,Positive
1iG0909rllw,6,IT WASIT WAS ENJOYABLE,1.6,Positive
1iG0909rllw,7,I WASNT THINKING ON HEARING THAT CHRIS WEITZ WAS GONNA START THE NEW MOON BECAUSE OF THE DESTRUCTION THAT WAS PHILLIP PULLMAN THE GOLDEN COMPASS,-0.6,Negative
1iG0909rllw,8,I THOUGHT THAT FILM WAS AWFUL,-2.4,Negative
1iG0909rllw,9,AND I I DIDINT REALLY KNOW WHAT TO EXPECT FROM NEW MOON UM IN TERMS OF HIS DIRECTION,-0.2,Negative
1iG0909rllw,10,OVERALL NEW MOON WAS IT WAS OK JUST AVERAGE,0.6,Positive
1iG0909rllw,11,THE THING IS ITS A VERY GOOD TRANSLATION OF THE BOOK,2.2,Positive
1iG0909rllw,12,ITS VERY VERY LOYAL TO THE BOOK,1.6,Positive
1iG0909rllw,13,AND I REALLY APPRECIATE THAT LOYALTY,1.4,Positive
1iG0909rllw,14,UM HOWEVER IT IS THIS LOYALTY TO THE ORIGINAL SOURCE THAT GIVES IT ITS FLAWS,-0.2,Negative
1iG0909rllw,15,AND THE BOOK IS NOT NECESSARILY THE MOST THRILLING BOOK EVER,-1.4,Negative
1iG0909rllw,16,I MEAN THE ENTIRE XXX IS BELLA SWAN KRISTEN KRISTENS STEWARDS CHARACTER MOBBING AROUND COMPLETELY DEPRESSED,-1.4,Negative
1iG0909rllw,17,IT WASNT REALLY THE BEST THE MOST THRILLING READ EVER ILL SAY THAT,-1.4,Negative
1iG0909rllw,18,SO OVERALLNEW MOON EVEN WITH THE BIGGER BETTER BUDGETS HUH IT WAS STILL TOO LONG,-1.8,Negative
1iG0909rllw,19,THE ANGSTY TOO ANGSTY MOMENTS WITHDRAWN OUT TO THE MAX AS FAR AS THAY CAN GO,-1.0,Negative
1iG0909rllw,20,AND THE SCRIPT IT LEFT ALL THE KEY PLOTS AND EMOTION FROM THE CHARACTERS TO BE EXPOSED THROUGH DIALOGUE,0.4,Positive
1iG0909rllw,21,I THINK IT WAS EMPIRE MAGAZINES REVIEW OF NEW MOON THAT SAID THAT KRISTEN RELIED HEAVILY ON THE TACTIC OF TACTIC OF BLINKING A LOT WHICH SHE REALLY DOES DO A LOT,-0.4,Negative
1iG0909rllw,22,BUT AT THE SAME GOES FOR ROB PATTINSON AS EDWARD AND TAYLOR LAUTNER AS JACOB THEY DO A LOT OF FROWNING IM A MANLY MAN AND I FROWN,-0.2,Negative
1iG0909rllw,23,FOR THE MOMENT IN THIS THE WHOLE CINEMA WAS LAUGHTING,1.8,Positive
1iG0909rllw,24,AND YOU KNEW YOU SHOULDNT BE LAUGHING,-1.0,Negative
1iG0909rllw,25,MY FAVORITE SCENE WOULD DEFINATELY BE THE VOLTURI,2.0,Positive
1iG0909rllw,26,UM THEN MY WINS ON SCREEN WISKERS I MEAN THEY WERE REALLY WORN IN A LOTS WHICH IS A SHAME BECAUSE I THOUGHT XXX REALLY RATHER GOOD,-0.6,Negative
1iG0909rllw,27,AND UM MICHAEL SHEEN AS ARO AS WELL HE WAS RATHER ENJOYABLE TO WATCH,1.8,Positive
1iG0909rllw,28,AND I THINK THE VOLTURI THAT WAS MY EXCITING BIT OF THE ENTIRE FILM,1.2,Positive
1iG0909rllw,29,THE REST OF THE FILM WAS JUST WATCHING KRISTEN JUST MOB AROUND,-1.4,Negative
1iG0909rllw,30,AND THAT WAS REALLY BORING,-1.6,Negative
2iD-tVS8NPw,1,BEFORE I WENT IN TO SEE THE GREEN LANTERN IVE BEEN HEARING ALL THESE LIKE CRITICS BASICALLY JUST TRASHING THIS MOVIE LEFT AND RIGHT,-0.5,Negative
2iD-tVS8NPw,2,BUT I AT THE SAME TIME I DO WANNA JUST SAY THAT I ENJOYED THIS MOVIE,2.2,Positive
2iD-tVS8NPw,3,I ENJOYED IT FOR WHAT IT WAS YOU KNOW,1.4,Positive
2iD-tVS8NPw,4,ITS A HUGE SORT OF SPECTACLE MOVIE THAT IS GREAT FOR THIS SUMMER TIME YOU KNOW,2.2,Positive
2iD-tVS8NPw,5,THIS IS A MOVIE THAT YOURE GONNA GO OUT AND SEE,2.0,Positive
2iD-tVS8NPw,6,AND YOU WANNA SEE IT IN 3D,2.0,Positive
2iD-tVS8NPw,7,BECAUSE I I WOULD ACTUALLY SAY THIS PROBABLY IS ONE OF THE FIRST MOVIES THIS YEAR THAT IVE SEEN THIS YEAR THAT YOU WANNA SEE IN 3D ESPECIALLY FOR JUST THE OPENING PORTION,2.4,Positive
2iD-tVS8NPw,8,IT LOOKS REALLY GOOD,1.8,Positive
2iD-tVS8NPw,9,AND THE REST OF IT DOES LOOK GOOD AS WELL,1.4,Positive
2iD-tVS8NPw,10,AND I JUST HAD FUN WATCHING THIS MOVIE,2.2,Positive
2iD-tVS8NPw,11,ITS NOT LIKE A DARK MOVIE OR ANYTHING,0.2,Positive
2iD-tVS8NPw,12,ITS VERY MUCH A LIGHT HEARTED,1.2,Positive
2iD-tVS8NPw,13,SO ITS PERFECT FOR KIDS AS WELL AS JUST LIKE TEENAGERS AS WELL WHO JUST WANNA SEE A LOT OF EXPLOSIONS AND SOME CRAZY STUFF,2.2,Positive
2iD-tVS8NPw,14,AND YOU KNOW GOING INTO IT OR THESE WATCHING THE TRAILERS BEFORE HEAD I WAS REALLY KIND OF HESITANT ABOUT SEEING THE GREEN LANTERN IN THE FIRST PLACE,-1.0,Negative
2iD-tVS8NPw,15,BECAUSE IT LOOKS LIKE A CARTOON,-1.5,Negative
2iD-tVS8NPw,16,IM NOT REALLY A HUGE FAN OF HAVING LIKE ALL THESE 3D CHARACTERS,-1.6,Negative
2iD-tVS8NPw,17,BECAUSE I THINK WHY NOT JUST MAKE THIS YOU KNOW MOVIE THIS LIVE ACTION MOVIE AND TALK CARTOON,-0.6,Negative
2iD-tVS8NPw,18,THATS REALLY THE ROUTE THAT YOURE GONNA GO,0.333333333,Positive
2iD-tVS8NPw,19,AND IT SEEMED LIKE THEY WERE GONNA GO THAT ROUTE,0.0,Neutral
2iD-tVS8NPw,20,BUT I THINK THERE WAS ALSO SOME SORT OF LIKE UM TONE WITHIN THE ACTUAL UM POWERS OF THE GREEN LANTERN AND HIMSELF AND THAT YOU CAN BASICALLY THINK UP OF ANYTHING AND YOU CAN PROJECT THAT INTO THE REAL LIFE,0.8,Positive
2iD-tVS8NPw,21,AND I THINK HAVING THIS SORT OF SUPERPOWER ALMOST THIS POWER TO JUST IMAGINE ANYTHING KIND OF JUST UM HELPED ME GET PASSED THAT YOU KNOW THESE ARE ALL CGI CHARACTERS AND SET,1.0,Positive
2iD-tVS8NPw,22,THIS IS A PLAYGROUND AND THEIR IMAGINARY PLAYGROUND AND ANYTHING CAN HAPPEN ANYTHING THAT WHAT ALSO MADE THE FILM EXCITING,2.2,Positive
2iD-tVS8NPw,23,BECAUSE YOU DONT ENTIRELY KNOW WHATS COMING NEXT,0.2,Positive
2iD-tVS8NPw,24,BUT THEN YOU KIND OF LIKE WALK OUT OF THE MOVIE AND YOURE LIKE WELL I I GET WHAT HAPPENED I UNDERSTAND WHAT HAPPENED,-1.0,Negative
2iD-tVS8NPw,25,BUT WHAT WHAT WOULD YOU DO FOR GREEN LANTERN MOVIE 2 THAT WOULD BE EVEN LIKE WORTH WHILE NOW,-0.8,Negative
2iD-tVS8NPw,26,BECAUSE I MEAN IF HES ABLE TO DO ALL OF THIS SORT OF STUFF LIKE HOW YOURE SUPPOSED TO REALLY PUT UP A FORCE THAT CAN PUSH HIM TO THE NEXT LEVEL OR OR DESTROY HIM AT THE SAME TIME,0.0,Neutral
2iD-tVS8NPw,27,AND IT DOES KIND OF A LEA HELPS ALLEVIATE WHAT THAT WHOLE WAS IS ABOUT FIGHTING THE ULTIMATE ENEMY WITHIN THIS FIRST MOVIE AND THAT THE THREAT IS STILL THERE POTENTIALLY SPEAKING,1.4,Positive
2iD-tVS8NPw,28,SO ITS KIND OF INTERESTING TO SEE UM WHERE THEYRE GONNA BE GOING WITH THAT,1.6,Positive
2iD-tVS8NPw,29,IM LOOKING FORWARD TO IT IVE GOT TO SAY,2.0,Positive
2iD-tVS8NPw,30,ITS NOT LIKE THE GREEN LANTERN IS THE NEXT BATMAN BEGINS OR OR THE DARK NIGHTER,-0.4,Negative
2WGyTLYerpo,1,MUCH SAY THAT I REALLY ENJOYED COWBOYS AND ALIENS,2.0,Positive
2WGyTLYerpo,2,THERE WAS A LOT OF FUN,0.4,Positive
2WGyTLYerpo,3,YOU GUYS DONT KNOW WHAT YOURE GONNA GO AND SEE WHEN YOU GO WALK INTO THE MOVIE CALLED COWBOYS AND ALIENS,0.0,Neutral
2WGyTLYerpo,4,IF YOURE EXPECTING SOME ARTSY SERIOUS OSCAR CONTENDER THAN YOURE WRONG,-0.4,Negative
2WGyTLYerpo,5,THE ONLY OSCAR THAT I CAN EVEN THING OF IS MAYBE LIKE BEST CINEMATOGRAPHY,0.0,Neutral
2WGyTLYerpo,6,BECAUSE THE CINEMATOGRAPHY IN THIS MOVIE IS GREAT,2.4,Positive
2WGyTLYerpo,7,AND MAYBE BEST VISUAL EFFECTS,1.6,Positive
2WGyTLYerpo,8,COZ THE VISUAL EFFECTS ARE PRETTY COOL,1.8,Positive
2WGyTLYerpo,9,BUT AGAIN YOU YOU CANT EXPECT A HUGE LIKE SURREAL MIND BENDER FROM THE MOVIE CALLED COWBOYS AND ALIENS YO,-0.4,Negative
2WGyTLYerpo,10,AND ITS SATISFACTORY,0.8,Positive
2WGyTLYerpo,11,THE ACTION IS REALLY INTENSE WHICH SURPRISED ME,2.2,Positive
2WGyTLYerpo,12,I DIDNT EXPECT THE ACTION TO BE SO INTENSE,1.2,Positive
2WGyTLYerpo,13,THERES SOME REALLY INTENSE ACTION SCENES ESPECIALLY THE SCENE WHEN THE ALIENS FIRST INVADE,2.0,Positive
2WGyTLYerpo,14,THAT SCENE IS LIKE CRAZY,0.2,Positive
2WGyTLYerpo,15,IT GAVE ME CHILLS,0.5,Positive
2WGyTLYerpo,16,I ITS A LOT OF FUN,2.0,Positive
2WGyTLYerpo,17,THE ACTION IS REALLY COOL,2.6,Positive
2WGyTLYerpo,18,THE ALIENS ARE REALLY COOL,2.2,Positive
2WGyTLYerpo,19,ONE THING I LIKE WITH THE ALIENS IS THAT A THEY ARE NOT JUST WEAK LINKS THAT HIDE BEHIND THE TECHNOLOGY,1.4,Positive
2WGyTLYerpo,20,THEY ARE HUGE,1.0,Positive
2WGyTLYerpo,21,THEYRE REALLY STRONG,0.8,Positive
2WGyTLYerpo,22,AND THEYRE KIND OF SCARY LOOKING,-0.8,Negative
2WGyTLYerpo,23,I DIDNT EXPECT THAT,0.0,Neutral
2WGyTLYerpo,24,AND ALSO I LIKE HOW ITS KIND OF UPFRONT TO SHOW THEM TO US INSTEAD OF HIDING THEM LIKE SHOWING A LITTLE LIKE AN ARM ON SCENE OR SOMETHING NO THEY JUST STRAIGHT UP SHOW IT TO US,1.6,Positive
2WGyTLYerpo,25,AND I REALLY ENJOYED THAT,1.8,Positive
2WGyTLYerpo,26,I IT WAS REALLY COOL WHEN THEY DID THAT,1.8,Positive
2WGyTLYerpo,27,COZ THE ALIENS WERE REALLY COOL LOOKING,1.8,Positive
2WGyTLYerpo,28,DANIEL CRAIG DOES A VERY GOOD JOB HERE,2.4,Positive
2WGyTLYerpo,29,HE KIND OF CHANNELS THE MAN WITH NO NAME CLINT EASTWOOD,0.6,Positive
2WGyTLYerpo,30,AND A LOT OF PEOPLE HAVE BEEN SAYING THAT,-0.2,Negative
2WGyTLYerpo,31,I THINK HE DOES A GREAT JOB AT WHAT HE DOES,2.0,Positive
2WGyTLYerpo,32,HES A REALLY BAD ASS,2.2,Positive
2WGyTLYerpo,33,IS REALLY REALLY HARD CORE,1.2,Positive
2WGyTLYerpo,34,HE DOESNT TAKE CRAP FROM ANYBODY,0.6,Positive
2WGyTLYerpo,35,AND HE DOES A REALLY GOOD JOB,2.2,Positive
2WGyTLYerpo,36,ALSO HIS INNOCENT ACCENT IS PRETTY CONVINCING,1.2,Positive
2WGyTLYerpo,37,HARRISON FORD IS ALSO GOOD,1.4,Positive
2WGyTLYerpo,38,HES HE GIVES AN ENTERTAINING PERFORMANCE AS THE KIND OF LIKE THE LEADER THE OF THE TOWN,1.0,Positive
2WGyTLYerpo,39,AT FIRST HES JUST KIND OF LIKE GRUMPY OLD GUY,-0.6,Negative
2WGyTLYerpo,40,BUT HE BECOMES MORE LIKEABLE,0.6,Positive
2WGyTLYerpo,41,HIS GUTS DEVELOPED MORE AS MORE LIKEABLE CHARACTER,0.6,Positive
2WGyTLYerpo,42,SO YOU CAN CARE ABOUT HIM,0.0,Neutral
2WGyTLYerpo,43,AND ALSOUM OLIVIA WILD SHES PRETTY GOOD,2.0,Positive
2WGyTLYerpo,44,SHES BEAUTIFUL,0.2,Positive
2WGyTLYerpo,45,AND SHES NOT A BAD ACTOR,0.2,Positive
2WGyTLYerpo,46,SHES ACTUALLY PRETTY GOOD,1.4,Positive
2WGyTLYerpo,47,SHES IN EVERYTHING NOWADAYS,0.0,Neutral
2WGyTLYerpo,48,THERE ARE SOME FLAWS HERE,-1.0,Negative
2WGyTLYerpo,49,AND THERE BUT THEYRE NOT HUGE GLARING FLAWS,-0.6,Negative
2WGyTLYerpo,50,BUT THEY ARE NOTICABLE FLAWS,-1.8,Negative
2WGyTLYerpo,51,SUCH AS SOMETIMES THE ALIENS IN THE WESTERN SETTING DO LOOK A LITTLE GOOFY,-0.6,Negative
2WGyTLYerpo,52,BUT I WAS KIND OF EXPECTING THAT,0.0,Neutral
2WGyTLYerpo,53,I WASNT A HUGE FAN OF IT,-1.0,Negative
2WGyTLYerpo,54,I JUST THOUGHT IT WAS KIND OF STUPID,-2.0,Negative
2WGyTLYerpo,55,AND SOMETIMES IT KIND OF VEERS INTO CLICHE ACTION MOVIE TERRITORY,-1.0,Negative
2WGyTLYerpo,56,LIKE A MOVIE CALLED COWBOYS AND ALIENS A LOT OF PEOPLE WOULD THINK WOULD BE KIND OF LIKE CRAZY,-0.4,Negative
2WGyTLYerpo,57,BUT SOMETIMES IT JUST VEERS ENTIRELY CLICHE ACTION MOVIE TERRITORY AGAIN,-1.6,Negative
2WGyTLYerpo,58,NOT A HUGE FLAW BUT ITS THERE AND ITS NOTICABLE,-1.4,Negative
2WGyTLYerpo,59,OVERALL I REALLY ENJOYED COWBOYS AND ALIENS,2.0,Positive
2WGyTLYerpo,60,AND IM GONNA GIVE IT AN EIGHT OUT OF TEN,2.2,Positive
2WGyTLYerpo,61,IT WAS REALLY FUN,1.4,Positive
2WGyTLYerpo,62,A VERY GOOD TIME,2.2,Positive
2WGyTLYerpo,63,AND I DEFINATELY RECOMMEND YOU CHECK IT OUT IN THEATERS,2.2,Positive
5W7Z1C_fDaE,1,PROBABLY ONE OF THE BALLSIEST PROBABLY ONE OF THE BALLSIEST FIMS OD SUNDANCE 2011,2.0,Positive
5W7Z1C_fDaE,2,UM AS REALLY THE BEST WAY TO DESCRIBE THIS FILM IS ITS BIG,1.4,Positive
5W7Z1C_fDaE,3,ITS BOLD,0.8,Positive
5W7Z1C_fDaE,4,ITS STRONG,0.4,Positive
5W7Z1C_fDaE,5,IT MAKES BIG POWERFULS STATEMENTS,2.0,Positive
5W7Z1C_fDaE,6,IT DOESNT HOLD BACK,0.5,Positive
5W7Z1C_fDaE,7,EVERYTHING FROM THE WAY ITS BEING RELEASED TO THE PERFORMANCES AND TO THE STORY ITSELF IS ABSOLUTELY OVRT THE TOP IMPRESSIVE,2.2,Positive
5W7Z1C_fDaE,8,AND REALLY WELL DONE,2.6,Positive
5W7Z1C_fDaE,9,ITS A HUGE BREAK THROUGH FOR KEVIN SMITH,2.4,Positive
5W7Z1C_fDaE,10,ITS COMPLETELY DIFFERENT FROM ANYTHING WEVE EVER SEEN HIM DO BEFORE,0.4,Positive
5W7Z1C_fDaE,11,JOHN GOODMAN ABSOLUTELY AMAZING,2.6,Positive
5W7Z1C_fDaE,12,MELISSA LEO WILL HAVE YOU CREEPED OUT TO YOUR INNER CORE WITH HER TINY LITTLE SMILE,0.8,Positive
5W7Z1C_fDaE,13,ITS SO WELL DONE,2.6,Positive
5W7Z1C_fDaE,14,FOR ALL OF THOSE PEOPLE WHO ARE HATING ON IT I DONT KNOW WHAT THEY ARE COMPLAINING ABOUT IT,1.8,Positive
5W7Z1C_fDaE,15,ITS A HORROR FILM IA A TRUE SENSE,0.25,Positive
5W7Z1C_fDaE,16,AND IT IS ABSOLUTELY HORRIFYING,-2.0,Negative
5W7Z1C_fDaE,17,UM IT IS IT IS DEFINATELY ONE OF THOSE FILMS THATS NOT GONNA BE EASY FOR YOU TO FIND,0.2,Positive
5W7Z1C_fDaE,18,ITS BEING RELEASED IN A VERY INTERESTING WAY,1.2,Positive
5W7Z1C_fDaE,19,WHENEVER IT COMES TO YOUR TOWN DO NOT MISS IT,2.8,Positive
5W7Z1C_fDaE,20,ITS EXTREMLY WELL MADE,2.8,Positive
5W7Z1C_fDaE,21,ITS EXTREMLY DARE I SAY FUN TO WATCH IN A REALLY MESSED UP KIND OF WAY,2.0,Positive
5W7Z1C_fDaE,22,ITS EXTREMLY DARE I SAY FUN TO WATCH IN A REALLY MESSED UP KIND OF WAY AND EVEN NOW ITS A HORROR FILM,1.6,Positive
5W7Z1C_fDaE,23,ITS DEFINATELY GOT SOME FUN KEVIN SMITH MOMENTS IN IT FOR YOU TO LAUGH WITH UM,1.8,Positive
5W7Z1C_fDaE,24,YEAP ABSOLUTELY NOT TO BE MISSED,2.4,Positive
6_0THN4chvY,1,AND SO I WAS KIND OF CURIOUS TO SEE MAYBE IF THAT WAS WHAT DISNEY WAS GOING FOR AND IT DEFINATELY WAS WHAT THAY WERE GOING FOR,1.6,Positive
